arma	movil	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
2	1	2510
2	2	24
2	3	4
2	4	2
2	5	36
2	6	46
2	7	0
2	8	253
2	9	2
2	10	2
2	11	13
2	12	1
2	13	0
3	1	524
3	2	4
3	3	4
3	4	9
3	5	19
3	6	35
3	7	0
3	8	29
3	9	0
3	10	1
3	11	8
3	12	3
3	13	0
4	1	469
4	2	3
4	3	1
4	4	1
4	5	4
4	6	42
4	7	0
4	8	65
4	9	1
4	10	0
4	11	5
4	12	0
4	13	0
5	1	6
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	0
5	8	1
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
6	1	31
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	0
6	11	2
6	12	0
6	13	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
8	1	3
8	2	0
8	3	0
8	4	0
8	5	0
8	6	1
8	7	0
8	8	1
8	9	0
8	10	0
8	11	1
8	12	0
8	13	0
9	1	3681
9	2	9
9	3	2
9	4	10
9	5	9
9	6	22
9	7	0
9	8	587
9	9	10
9	10	0
9	11	22
9	12	0
9	13	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
10	12	0
10	13	0
