arma	movil	value
1	1	9384
1	2	373
1	3	2
1	4	179
1	5	154
1	6	0
1	7	259
1	8	490
1	9	0
1	10	146
1	11	80
1	12	0
1	13	106
2	1	2510
2	2	24
2	3	4
2	4	2
2	5	36
2	6	46
2	7	0
2	8	253
2	9	2
2	10	2
2	11	13
2	12	1
2	13	0
3	1	3084
3	2	210
3	3	4
3	4	670
3	5	205
3	6	35
3	7	250
3	8	132
3	9	0
3	10	213
3	11	60
3	12	3
3	13	243
4	1	3628
4	2	106
4	3	2
4	4	114
4	5	95
4	6	42
4	7	192
4	8	211
4	9	2
4	10	64
4	11	13
4	12	0
4	13	67
5	1	281
5	2	16
5	3	0
5	4	7
5	5	9
5	6	1
5	7	5
5	8	22
5	9	0
5	10	3
5	11	0
5	12	0
5	13	7
6	1	260
6	2	1
6	3	0
6	4	0
6	5	38
6	6	0
6	7	17
6	8	9
6	9	0
6	10	0
6	11	4
6	12	0
6	13	14
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	0
7	13	0
8	1	18
8	2	0
8	3	0
8	4	0
8	5	0
8	6	1
8	7	0
8	8	4
8	9	0
8	10	0
8	11	1
8	12	0
8	13	0
9	1	17126
9	2	232
9	3	5
9	4	259
9	5	157
9	6	22
9	7	502
9	8	1808
9	9	18
9	10	111
9	11	36
9	12	0
9	13	264
10	1	29
10	2	0
10	3	0
10	4	0
10	5	1
10	6	0
10	7	26
10	8	10
10	9	2
10	10	2
10	11	0
10	12	0
10	13	0
